file_path,artist,title,stream_count,source_url,archive_item,license_url
music/low_stream/Sperm Of Freddie Mercury - 19. Жоподиева ебут в жопу (Chuck Schuldiner Is Gay Cover).mp3,Sperm Of Freddie Mercury,19. Жоподиева ебут в жопу (Chuck Schuldiner Is Gay Cover),783,https://archive.org/download/IBR_411/19.%20%D0%96%D0%BE%D0%BF%D0%BE%D0%B4%D0%B8%D0%B5%D0%B2%D0%B0%20%D0%B5%D0%B1%D1%83%D1%82%20%D0%B2%20%D0%B6%D0%BE%D0%BF%D1%83%20%28Chuck%20Schuldiner%20Is%20Gay%20Cover%29.mp3,https://archive.org/details/IBR_411,
music/low_stream/Каловая Рвота - 14. Катюша (Матвей Блантер cover).mp3,Каловая Рвота,14. Катюша (Матвей Блантер cover),951,https://archive.org/download/IBR_847/14.%20%D0%9A%D0%B0%D1%82%D1%8E%D1%88%D0%B0%20%28%D0%9C%D0%B0%D1%82%D0%B2%D0%B5%D0%B9%20%D0%91%D0%BB%D0%B0%D0%BD%D1%82%D0%B5%D1%80%20cover%29.mp3,https://archive.org/details/IBR_847,
music/low_stream/Eucci - rive058-03-eucci-r1s2-eu.eu.87RW.mp3,Eucci,rive058-03-eucci-r1s2-eu.eu.87RW,907,https://archive.org/download/rive058/rive058-03-eucci-r1s2-eu.eu.87RW.mp3,https://archive.org/details/rive058,http://creativecommons.org/publicdomain/zero/1.0/
music/low_stream/The Fake Masters - 04deadstripe_vbr.mp3,The Fake Masters,04deadstripe_vbr,889,https://archive.org/download/ekaf01/04deadstripe_vbr.mp3,https://archive.org/details/ekaf01,http://creativecommons.org/licenses/by-nc-nd/2.0/de/
music/low_stream/Roberto Massoni - 02_3c05i5t3.mp3,Roberto Massoni,02_3c05i5t3,759,https://archive.org/download/FloreasUnnFauneth/02_3c05i5t3.mp3,https://archive.org/details/FloreasUnnFauneth,https://creativecommons.org/licenses/by-nc/4.0/
music/low_stream/Charles Rice Goff III - 02ModeledFlesh.mp3,Charles Rice Goff III,02ModeledFlesh,932,https://archive.org/download/ArduousGirdling/02ModeledFlesh.mp3,https://archive.org/details/ArduousGirdling,http://creativecommons.org/licenses/by-nc-nd/3.0/
music/low_stream/Digi Hartatak - song_vbr.mp3,Digi Hartatak,song_vbr,818,https://archive.org/download/simplisticsongs/song_vbr.mp3,https://archive.org/details/simplisticsongs,http://creativecommons.org/licenses/by/3.0/
music/low_stream/Javier Barría - 03-_Chicas_Clonadas.mp3,Javier Barría,03-_Chicas_Clonadas,994,https://archive.org/download/JB-DesayunoElectrico/03-_Chicas_Clonadas.mp3,https://archive.org/details/JB-DesayunoElectrico,http://creativecommons.org/licenses/by-nc-nd/2.0/cl/
music/low_stream/Melcher Tschiemer - De mortuis nil nisi bonum - 6 - The Ghost of Xmas Future - October 1995.mp3,Melcher Tschiemer,De mortuis nil nisi bonum - 6 - The Ghost of Xmas Future - October 1995,935,https://archive.org/download/MelcherTschiemerDeMortuisNilNisiBonum/De%20mortuis%20nil%20nisi%20bonum%20-%206%20-%20The%20Ghost%20of%20Xmas%20Future%20-%20October%201995.mp3,https://archive.org/details/MelcherTschiemerDeMortuisNilNisiBonum,http://creativecommons.org/licenses/by-nc/3.0/
music/low_stream/Grigoriy Nedelko - 10-mbr197.mp3,Grigoriy Nedelko,10-mbr197,835,https://archive.org/download/Microbit-rec197/10-mbr197.mp3,https://archive.org/details/Microbit-rec197,http://creativecommons.org/licenses/by-nc-nd/3.0/
music/low_stream/Ciberpajé & Filmy Ghost - 01 - Aforismo I.mp3,Ciberpajé & Filmy Ghost,01 - Aforismo I,835,https://archive.org/download/loucos-ou-deuses-ep/01%20-%20Aforismo%20I.mp3,https://archive.org/details/loucos-ou-deuses-ep,https://creativecommons.org/licenses/by-nc-nd/4.0/
music/low_stream/MYRDAL - 08 No existo.mp3,MYRDAL,08 No existo,766,https://archive.org/download/myrl004/08%20No%20existo.mp3,https://archive.org/details/myrl004,
music/low_stream/Thomas Park - Track20210521103502912645.8.mp3,Thomas Park,Track20210521103502912645.8,874,https://archive.org/download/1000WorldSongsInADay/Track20210521103502912645.8.mp3,https://archive.org/details/1000WorldSongsInADay,http://creativecommons.org/publicdomain/mark/1.0/
music/low_stream/Jeff Sampson & Ed End - 06.Tian_Keng_Jeff_Sampson_and_Ed_End.mp3,Jeff Sampson & Ed End,06.Tian_Keng_Jeff_Sampson_and_Ed_End,858,https://archive.org/download/Jeff_Sampson_Ed_End_Tian_Keng/06.Tian_Keng_Jeff_Sampson_and_Ed_End.mp3,https://archive.org/details/Jeff_Sampson_Ed_End_Tian_Keng,https://creativecommons.org/licenses/by-nc-sa/4.0/
music/low_stream/DJ Humiliation - 05-DJ_Humiliation_-_glowstick_vbr.mp3,DJ Humiliation,05-DJ_Humiliation_-_glowstick_vbr,885,https://archive.org/download/LoveChild/05-DJ_Humiliation_-_glowstick_vbr.mp3,https://archive.org/details/LoveChild,http://creativecommons.org/licenses/by-nc-sa/2.5/ch/
music/low_stream/David J. Fonseca - 6_0331.mp3,David J. Fonseca,6_0331,817,https://archive.org/download/alg-045D-InPassing/6_0331.mp3,https://archive.org/details/alg-045D-InPassing,http://creativecommons.org/licenses/by-sa/3.0/
music/low_stream/netwaves - 09BeginToday.mp3,netwaves,09BeginToday,917,https://archive.org/download/nws082/09BeginToday.mp3,https://archive.org/details/nws082,http://creativecommons.org/licenses/by-nc-sa/3.0/
music/low_stream/duckman - 02_earth_dies_screaming_inside_the_cartridge.mp3,duckman,02_earth_dies_screaming_inside_the_cartridge,893,https://archive.org/download/earthdiesscreaming_outofmana/02_earth_dies_screaming_inside_the_cartridge.mp3,https://archive.org/details/earthdiesscreaming_outofmana,http://creativecommons.org/licenses/by-nc-nd/3.0/us/
music/low_stream/Post Apocalyptic Zombie - 09ThenTumbledDownLiveMixVersionIIFuckedByAVSMediaDemo.mp3,Post Apocalyptic Zombie,09ThenTumbledDownLiveMixVersionIIFuckedByAVSMediaDemo,798,https://archive.org/download/SA41-PostApocalypticZombie-Bloodrust/09ThenTumbledDownLiveMixVersionIIFuckedByAVSMediaDemo.mp3,https://archive.org/details/SA41-PostApocalypticZombie-Bloodrust,http://creativecommons.org/licenses/by-nc-nd/3.0/us/
