duration_seconds,analyzed_duration_seconds,tempo,key,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,zcr_mean,zcr_std,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,chroma_mean,chroma_std,rms_mean,rms_std,tonnetz_mean,tonnetz_std,file_path,popular,peak_rank,weeks-on-board,artist,title,label_source,stream_count,popularity_tier,popularity_weight
30.0,30.0,117.45383522727273,C major,2605.1307100565627,874.892116483814,5587.6828787127515,2644.4829276211844,0.09305688249806501,0.06376385559875117,-121.28307342529297,44.94041442871094,74.38716888427734,28.40935516357422,1.8088479042053223,18.798004150390625,29.474985122680664,13.17498779296875,6.846968650817871,8.959614753723145,13.139060020446777,7.839175701141357,3.695866584777832,8.720670700073242,7.193400859832764,7.131821632385254,1.8980945348739624,8.147507667541504,6.081833362579346,7.78071403503418,-0.6863526105880737,9.101836204528809,9.763797760009766,8.686474800109863,-1.9589691162109375,7.152731895446777,0.4529571235179901,0.2851133942604065,0.11589482426643372,0.05026331916451454,0.04019076680700881,0.17733994536415096,music/Capital Cities - Safe And Sound.mp3,1,8.0,43,Capital Cities,Safe And Sound,charted,,top20,0.8005689911956335
30.0,30.0,123.046875,G major,1351.9858511872017,204.28686394505445,2493.1599242030284,1303.0640763308488,0.08861359870839783,0.029799880958408836,-123.09838104248047,44.03773880004883,174.11634826660156,16.048341751098633,-65.2555923461914,20.98042106628418,34.75847625732422,15.998656272888184,30.117979049682617,10.983449935913086,-14.344305038452148,10.912671089172363,7.6534881591796875,8.609223365783691,3.726519823074341,8.369751930236816,-6.074984073638916,7.8069329261779785,5.038731098175049,8.340558052062988,-2.5067410469055176,6.7875776290893555,-0.7191762924194336,7.037473201751709,-2.8478634357452393,6.480680465698242,0.3450178802013397,0.2930315136909485,0.17601563036441803,0.0712488442659378,0.004003645473232611,0.12211810751963066,music/Peter And Gordon - Sunday For Tea.mp3,1,31.0,6,Peter And Gordon,Sunday For Tea,charted,,chart_21_50,0.5871385880776148
30.0,30.0,117.45383522727273,B major,2351.9200521330445,550.590815538974,5070.977669825126,2488.576232237129,0.10835837727360681,0.042449778931582784,-75.26104736328125,47.35493087768555,91.11962890625,20.194355010986328,-0.741422176361084,26.466135025024414,23.201568603515625,14.031305313110352,-4.418463230133057,16.19675064086914,4.1963677406311035,10.398039817810059,0.8426790237426758,11.533130645751953,2.712716817855835,9.180285453796387,-2.8528506755828857,10.117120742797852,5.6319403648376465,8.608160972595215,-4.833948612213135,7.595277309417725,-2.72464919090271,7.787158012390137,-3.8865339756011963,7.386562824249268,0.36500969529151917,0.30336087942123413,0.16032518446445465,0.0593809075653553,-0.04488690042769547,0.13026423633137196,"music/Marilyn McCoo & Billy Davis, Jr. - Look What You've Done To My Heart.mp3",1,51.0,7,"Marilyn McCoo & Billy Davis, Jr.",Look What You've Done To My Heart,charted,,chart_51_100,0.4669982091109739
30.0,30.0,117.45383522727273,G# minor,2146.499186495061,558.4684635742484,4500.122788373162,2345.703667902644,0.09883462533862229,0.040236139317042605,-83.22779846191406,63.62424087524414,101.30276489257812,24.4932861328125,-13.232902526855469,22.323623657226562,16.17608642578125,13.243481636047363,4.5204973220825195,12.639904022216797,15.102766990661621,9.158307075500488,4.26416540145874,9.634771347045898,0.005355811212211847,7.537030220031738,-3.4058384895324707,7.868454456329346,1.7711083889007568,7.255161762237549,-3.1146841049194336,7.6242499351501465,1.8179596662521362,7.174668788909912,-0.6407010555267334,7.659787654876709,0.4237522780895233,0.295168399810791,0.1469780057668686,0.05581412836909294,0.009072797799779181,0.08595439477871633,music/Graham Central Station - It's Alright.mp3,1,92.0,2,Graham Central Station,It's Alright,charted,,chart_51_100,0.2809412718383466
30.0,30.0,151.99908088235293,D# minor,2307.9360248148073,906.0088433693941,5188.626958415974,2646.885547829696,0.08670658076141641,0.06777833735104184,-221.56642150878906,64.14868927001953,84.42901611328125,29.925325393676758,12.971782684326172,31.911155700683594,20.830978393554688,20.458370208740234,11.67741870880127,15.314716339111328,5.115845680236816,15.773118019104004,3.965481758117676,12.994912147521973,5.34508752822876,12.255119323730469,-7.036748886108398,10.953460693359375,4.838357925415039,11.251216888427734,-8.620637893676758,9.086309432983398,-4.843088626861572,10.409614562988281,-0.4865972697734833,9.267698287963867,0.3628661632537842,0.3124637305736542,0.0592942014336586,0.02860412374138832,0.03887591040778454,0.12902171907194926,music/Sharissa - Any Other Night.mp3,1,72.0,14,Sharissa,Any Other Night,charted,,chart_51_100,0.36485506306899457
30.0,30.0,63.02400914634146,C major,1767.9121795378217,456.93213707160135,3689.069359368953,2184.087207988062,0.07123388520704334,0.033794563347037176,-145.6111602783203,72.60921478271484,116.86138153076172,21.888957977294922,1.5896245241165161,23.392833709716797,19.339500427246094,13.399606704711914,-2.0535237789154053,14.149328231811523,4.400053977966309,9.388824462890625,-8.675755500793457,10.990345001220703,8.834940910339355,7.324826240539551,-7.3464860916137695,7.529776573181152,6.3461809158325195,8.386333465576172,2.856802463531494,7.836513519287109,-1.0401175022125244,8.130355834960938,-3.728571653366089,7.58887243270874,0.3314129710197449,0.2962667644023895,0.1073995977640152,0.051517851650714874,0.08008846201828769,0.14570608921187728,music/The Masqueraders - I Ain't Got To Love Nobody Else.mp3,1,57.0,5,The Masqueraders,I Ain't Got To Love Nobody Else,charted,,chart_51_100,0.4359239251822338
30.0,30.0,83.35433467741936,F major,2522.209782123976,464.4246958399013,5121.535697440983,2401.9514510959166,0.12703664679276316,0.04868216167839981,-118.61510467529297,31.770784378051758,82.6946029663086,18.493738174438477,-14.5364408493042,20.198049545288086,31.988534927368164,11.689169883728027,-4.779397964477539,9.534476280212402,5.295903205871582,9.392833709716797,-3.157071828842163,8.003104209899902,4.773001194000244,7.050154209136963,-7.609089374542236,7.650457859039307,2.787989854812622,7.596757888793945,-5.587693214416504,6.915789604187012,1.840322732925415,7.462036609649658,-3.394528865814209,7.071320533752441,0.3596316874027252,0.2906612753868103,0.07708963006734848,0.016159020364284515,0.07467586939781229,0.11978565904243378,music/Johnny Preston - Feel So Fine.mp3,1,14.0,14,Johnny Preston,Feel So Fine,charted,,top20,0.7282213467476955
30.0,30.0,112.34714673913044,A# minor,1720.3127372730041,1001.2335370681793,3676.277770051277,2216.0645469668734,0.063664014125387,0.04821623651469416,-111.87069702148438,73.37569427490234,116.7898941040039,44.09130096435547,28.083803176879883,33.57876968383789,33.68009948730469,19.11408805847168,24.234262466430664,17.04534339904785,2.93792986869812,21.027324676513672,13.461267471313477,14.953231811523438,8.21331787109375,12.738842010498047,-13.454290390014648,13.571207046508789,13.75535774230957,13.38757610321045,-6.7297258377075195,12.458895683288574,5.878664970397949,11.320658683776855,0.5257298350334167,10.179340362548828,0.40033620595932007,0.28912582993507385,0.2882716953754425,0.09688185155391693,0.016794418436188854,0.16588192964552265,music/Kanye West - Jonah.mp3,1,27.0,2,Kanye West,Jonah,charted,,chart_21_50,0.6156469426070963
30.0,30.0,151.99908088235293,F major,2602.94901474664,732.986862668087,5481.883518467009,2555.2304034353315,0.11922603642608359,0.049249153934180945,16.731307983398438,38.28676223754883,83.21511840820312,26.72481346130371,-8.587587356567383,16.60529136657715,32.03784942626953,15.030367851257324,2.2174057960510254,9.22908878326416,4.803094863891602,8.141376495361328,-2.8525211811065674,8.112038612365723,2.1506152153015137,8.480741500854492,0.1498958319425583,7.784403324127197,2.5154013633728027,7.7117919921875,-1.1595696210861206,7.8565497398376465,-0.42438217997550964,6.172244548797607,-2.805344820022583,6.814209938049316,0.3920246660709381,0.2908121347427368,0.2959284484386444,0.058131832629442215,0.03555687961455706,0.12732003489970187,music/Switchfoot - Meant To Live.mp3,1,18.0,28,Switchfoot,Meant To Live,charted,,top20,0.6892092197459694
30.0,30.0,92.28515625,F major,1530.8917667731266,521.9013484412616,3396.279463162732,1785.471130663111,0.06331065269446594,0.0365696793726618,-203.69427490234375,55.2352180480957,127.26795959472656,28.845914840698242,-12.987703323364258,22.73196029663086,61.03509521484375,15.408113479614258,-15.330865859985352,11.179447174072266,20.77655792236328,8.181831359863281,-4.212687015533447,8.42416763305664,2.5482053756713867,8.224305152893066,-5.458188056945801,8.228553771972656,-0.7332356572151184,8.95097541809082,-3.568319320678711,7.462726593017578,-3.3801684379577637,8.442012786865234,-4.340085029602051,7.94879674911499,0.34549593925476074,0.30301129817962646,0.07988390326499939,0.03567805886268616,0.04009450054245878,0.13924951953159692,music/Little Caesar And The Consuls - (My Girl) Sloopy.mp3,1,50.0,8,Little Caesar And The Consuls,(My Girl) Sloopy,charted,,chart_21_50,0.4723551469889137
