file_path,label_source,file_exists,file_size_bytes,metadata_duration_seconds,sample_rate_hz,channels,estimated_bitrate_kbps,container_format,codec_subtype,bitrate_kbps,bitrate_mode,mpeg_version,mp3_mode,metadata_error
music/low_stream/Struggleburger - GOV02_vbr.mp3,archive_low_download,True,5858518,301.92326530612246,44100.0,2.0,155.23197244332928,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/Разрубленная Колыбель - 04. Абортированные яйца.mp3,archive_low_download,True,91957,2.1953968253968252,44100.0,2.0,335.09021762706965,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Beyond The Tempest Sky - 03_-_BTTS_-_1UP_-_Robotic-Operating-Buddy_vbr.mp3,archive_low_download,True,1686422,127.98839002267573,44100.0,2.0,105.41093608263789,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/Flash - FW009-01_Murder_vbr.mp3,archive_low_download,True,4219018,277.28979591836736,44100.0,2.0,121.72155087140838,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/The Songless Bird - TSLB-04-OctoberBereavement.mp3,archive_low_download,True,5161728,322.6,48000.0,2.0,128.0031742095474,MP3,MPEG_LAYER_III,128.0,constant,MPEG 1.0,joint stereo,
music/low_stream/The Sumo Project - 06Unmarked_Path_64kb.mp3,archive_low_download,True,2934372,368.5239455782313,22050.0,2.0,63.70000180901859,MP3,MPEG_LAYER_III,64.0,constant,MPEG 2.0,joint stereo,
music/low_stream/Arzathon - Aphrodite.mp3,archive_low_download,True,402184,25.053945578231293,44100.0,2.0,128.42176853755026,MP3,MPEG_LAYER_III,128.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Praying Gods - 13-NoSpeakingViolation.mp3,archive_low_download,True,2058559,128.6393650793651,44100.0,2.0,128.02047017131687,MP3,MPEG_LAYER_III,128.0,constant,MPEG 1.0,stereo,
music/low_stream/Anonymous - 01.ASecretEntrance.mp3,archive_low_download,True,16430980,410.4767346938776,44100.0,2.0,320.2321322742694,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,stereo,
music/low_stream/M.E.H - 05StupidPigFuckingBastard.mp3,archive_low_download,True,1083392,66.0,44100.0,2.0,131.32024242424242,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/Filmy Ghost - 03 - Nightmares in a Skyscraper.mp3,archive_low_download,True,5850905,143.56897959183672,44100.0,2.0,326.02613832787483,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/astronuts - aztronuts_vol_2_64kb_mp3.mp3,archive_low_download,True,21017425,294.3996371882086,22050.0,2.0,571.1263831908499,MP3,MPEG_LAYER_III,64.0,constant,MPEG 2.0,joint stereo,
music/low_stream/Wildness Records - 06-cosmoloco-Damns.mp3,archive_low_download,True,4170064,260.4266666666667,44100.0,2.0,128.09944706123284,MP3,MPEG_LAYER_III,128.0,constant,MPEG 1.0,stereo,
music/low_stream/Puppets Love Dreams - MDB06_09_Puppets_Love_Dreams_La_Melodie_des_Contrastes_vbr.mp3,archive_low_download,True,9977335,432.87510204081633,44100.0,2.0,184.3919403626818,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/Quilluya - 05yacu_vbr.mp3,archive_low_download,True,1222112,50.364,32000.0,2.0,194.12469224048925,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
