archive_item,artist,file_path,license_url,source_url,stream_count,title
https://archive.org/details/IBR_9,Хуеглаз-Скалолаз; Trash Grinding Device; Некрофилический Гей-Старец; Oral VS Anal VS Murder,music\low_stream\Хуеглаз-Скалолаз; Trash Grinding Device; Некрофилический Гей-Старец; Oral VS Anal VS Murder - 03 - Смрадный Жопотрах Семён Зашкваров Насилует Себя Шариковой Ручкой В Присутствии Своей Скончавшейся От Разрыва Прямой.mp3,,https://archive.org/download/IBR_9/03%20-%20%D0%A1%D0%BC%D1%80%D0%B0%D0%B4%D0%BD%D1%8B%D0%B9%20%D0%96%D0%BE%D0%BF%D0%BE%D1%82%D1%80%D0%B0%D1%85%20%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%20%D0%97%D0%B0%D1%88%D0%BA%D0%B2%D0%B0%D1%80%D0%BE%D0%B2%20%D0%9D%D0%B0%D1%81%D0%B8%D0%BB%D1%83%D0%B5%D1%82%20%D0%A1%D0%B5%D0%B1%D1%8F%20%D0%A8%D0%B0%D1%80%D0%B8%D0%BA%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%A0%D1%83%D1%87%D0%BA%D0%BE%D0%B9%20%D0%92%20%D0%9F%D1%80%D0%B8%D1%81%D1%83%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%A1%D0%B2%D0%BE%D0%B5%D0%B9%20%D0%A1%D0%BA%D0%BE%D0%BD%D1%87%D0%B0%D0%B2%D1%88%D0%B5%D0%B9%D1%81%D1%8F%20%D0%9E%D1%82%20%D0%A0%D0%B0%D0%B7%D1%80%D1%8B%D0%B2%D0%B0%20%D0%9F%D1%80%D1%8F%D0%BC%D0%BE%D0%B9%20%D0%9A%D0%B8%D1%88%D0%BA%D0%B8%20%D0%A1%D0%BE%D0%B1%D0%B0%D0%BA%D0%B8.mp3,917,03 - Смрадный Жопотрах Семён Зашкваров Насилует Себя Шариковой Ручкой В Присутствии Своей Скончавшейся От Разрыва Прямой Кишки Собаки
https://archive.org/details/searching_for_sentinels_01,Bivouac Recording,music\low_stream\Bivouac Recording - Searching_for_Sentinels_01_04.mp3,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,https://archive.org/download/searching_for_sentinels_01/Searching_for_Sentinels_01_04.mp3,849,Searching_for_Sentinels_01_04
https://archive.org/details/CHILLHEIMERdementedbits,CHILLHEIMER,music\low_stream\CHILLHEIMER - chillheimerdementedbits_64kb.mp3,http://creativecommons.org/licenses/by-nc-nd/2.5/,https://archive.org/download/CHILLHEIMERdementedbits/chillheimerdementedbits_64kb.mp3,804,chillheimerdementedbits_64kb
https://archive.org/details/IBR_1710,Гиф,music\low_stream\Гиф - 088. Героиновый Петух Путает Рамсы.mp3,,https://archive.org/download/IBR_1710/088.%20%D0%93%D0%B5%D1%80%D0%BE%D0%B8%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9%20%D0%9F%D0%B5%D1%82%D1%83%D1%85%20%D0%9F%D1%83%D1%82%D0%B0%D0%B5%D1%82%20%D0%A0%D0%B0%D0%BC%D1%81%D1%8B.mp3,860,088. Героиновый Петух Путает Рамсы
https://archive.org/details/afm135_lovegrenade_st,Lovegrenade,music\low_stream\Lovegrenade - 03_-_lovegrenade_-_food_for_the_trees.mp3,http://creativecommons.org/licenses/by-nc-nd/3.0/,https://archive.org/download/afm135_lovegrenade_st/03_-_lovegrenade_-_food_for_the_trees.mp3,822,03_-_lovegrenade_-_food_for_the_trees
https://archive.org/details/IBR_412,Johnny Copro & СРАКА,"music\low_stream\Johnny Copro & СРАКА - 05. Крылатые Ракеты С Ядерными Энергетическими Установками Заставили Абасраца Всех Пиндосав, А Илон Маск Плачет В Уголке.mp3",,https://archive.org/download/IBR_412/05.%20%D0%9A%D1%80%D1%8B%D0%BB%D0%B0%D1%82%D1%8B%D0%B5%20%D0%A0%D0%B0%D0%BA%D0%B5%D1%82%D1%8B%20%D0%A1%20%D0%AF%D0%B4%D0%B5%D1%80%D0%BD%D1%8B%D0%BC%D0%B8%20%D0%AD%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%BC%D0%B8%20%D0%A3%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0%D0%BC%D0%B8%20%D0%97%D0%B0%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D0%BB%D0%B8%20%D0%90%D0%B1%D0%B0%D1%81%D1%80%D0%B0%D1%86%D0%B0%20%D0%92%D1%81%D0%B5%D1%85%20%D0%9F%D0%B8%D0%BD%D0%B4%D0%BE%D1%81%D0%B0%D0%B2%2C%20%D0%90%20%D0%98%D0%BB%D0%BE%D0%BD%20%D0%9C%D0%B0%D1%81%D0%BA%20%D0%9F%D0%BB%D0%B0%D1%87%D0%B5%D1%82%20%D0%92%20%D0%A3%D0%B3%D0%BE%D0%BB%D0%BA%D0%B5.mp3,858,"05. Крылатые Ракеты С Ядерными Энергетическими Установками Заставили Абасраца Всех Пиндосав, А Илон Маск Плачет В Уголке"
https://archive.org/details/heavymental.ru_hm23,Math Geek,music\low_stream\Math Geek - 03_Math_Geek_-_Little_Smart_Goon_Tips.mp3,http://creativecommons.org/licenses/by-nc-nd/3.0/,https://archive.org/download/heavymental.ru_hm23/03_Math_Geek_-_Little_Smart_Goon_Tips.mp3,783,03_Math_Geek_-_Little_Smart_Goon_Tips
https://archive.org/details/camomille047,Line Noise feat. Pupila,music\low_stream\Line Noise feat. Pupila - Cam47a-TheLunarBliss-PartI_LineNoiseFeaturingPupila.mp3,http://creativecommons.org/licenses/by-nd-nc/1.0/,https://archive.org/download/camomille047/Cam47a-TheLunarBliss-PartI_LineNoiseFeaturingPupila.mp3,921,Cam47a-TheLunarBliss-PartI_LineNoiseFeaturingPupila
https://archive.org/details/FR-mostly_birds,MSWK & TKA,music\low_stream\MSWK & TKA - Lorikeets eating seeds in the Royal Botanic Gardens Sydney.mp3,https://creativecommons.org/licenses/by/4.0/,https://archive.org/download/FR-mostly_birds/Lorikeets%20eating%20seeds%20in%20the%20Royal%20Botanic%20Gardens%20Sydney.mp3,801,Lorikeets eating seeds in the Royal Botanic Gardens Sydney
https://archive.org/details/OurSpacesOverlapem181,Chris Lynn,music\low_stream\Chris Lynn - 3.LibraryLight.mp3,http://creativecommons.org/licenses/by-nc-nd/3.0/,https://archive.org/download/OurSpacesOverlapem181/3.LibraryLight.mp3,769,3.LibraryLight
https://archive.org/details/headphonica.hpcd047,mr&mrsBrian,music\low_stream\mr&mrsBrian - mrmrsBrian__so_not_polite__02.mp3,http://creativecommons.org/licenses/by-nc-sa/3.0/de/,https://archive.org/download/headphonica.hpcd047/mrmrsBrian__so_not_polite__02.mp3,793,mrmrsBrian__so_not_polite__02
https://archive.org/details/TDC038,Dark DJ,music\low_stream\Dark DJ - 12.Auregan.mp3,http://creativecommons.org/licenses/by-sa/3.0/,https://archive.org/download/TDC038/12.Auregan.mp3,999,12.Auregan
https://archive.org/details/ShitDick3,The Shitdick Collective,music\low_stream\The Shitdick Collective - The Shitdick Collective - The ShitDick EP 3- God Help Us All - 24 Testing out my new mic.mp3,,https://archive.org/download/ShitDick3/The%20Shitdick%20Collective%20-%20The%20ShitDick%20EP%203-%20God%20Help%20Us%20All%20-%2024%20Testing%20out%20my%20new%20mic.mp3,890,The Shitdick Collective - The ShitDick EP 3- God Help Us All - 24 Testing out my new mic
https://archive.org/details/IBR_158,Untitled MC,music\low_stream\Untitled MC - 07. Ненавидим Женщин (ft. Fuckin Grave).mp3,,https://archive.org/download/IBR_158/07.%20%D0%9D%D0%B5%D0%BD%D0%B0%D0%B2%D0%B8%D0%B4%D0%B8%D0%BC%20%D0%96%D0%B5%D0%BD%D1%89%D0%B8%D0%BD%20%28ft.%20Fuckin%20Grave%29.mp3,957,07. Ненавидим Женщин (ft. Fuckin Grave)
https://archive.org/details/TEFE056,Miquel Parera Jaques,music\low_stream\Miquel Parera Jaques - TEFE056-1-Rhythm-2019-12-07-09-31-10.mp3,https://creativecommons.org/licenses/by-sa/4.0/,https://archive.org/download/TEFE056/TEFE056-1-Rhythm-2019-12-07-09-31-10.mp3,867,TEFE056-1-Rhythm-2019-12-07-09-31-10
https://archive.org/details/vbr021,Banyek,music\low_stream\Banyek - vbr_021.mp3,http://creativecommons.org/licenses/by-nc-nd/2.5/,https://archive.org/download/vbr021/vbr_021.mp3,927,vbr_021
https://archive.org/details/ill020,Les Sécrétions Romantiques,music\low_stream\Les Sécrétions Romantiques - 01_-_Les_Sécrétions_Romantiques_-_Nozebleed_Waltz.mp3,,https://archive.org/download/ill020/01_-_Les_S%C3%A9cr%C3%A9tions_Romantiques_-_Nozebleed_Waltz.mp3,887,01_-_Les_Sécrétions_Romantiques_-_Nozebleed_Waltz
https://archive.org/details/Qubit002-jaeckTheBit-la_prima_lacrima_nostalgica,Jaeck the Bit,music\low_stream\Jaeck the Bit - 05-progenynNight.mp3,http://creativecommons.org/licenses/by-sa/2.5/it/,https://archive.org/download/Qubit002-jaeckTheBit-la_prima_lacrima_nostalgica/05-progenynNight.mp3,908,05-progenynNight
https://archive.org/details/Rummaging,Henry Collins and Robin Foster,music\low_stream\Henry Collins and Robin Foster - 010. 1 x shoebox of cassettes 1 x plastic box of junk. live performance at Supernormal Festival. Braziers Park (9.8.14).mp3,http://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/download/Rummaging/010.%201%20x%20shoebox%20of%20cassettes%201%20x%20plastic%20box%20of%20junk.%20live%20performance%20at%20Supernormal%20Festival.%20Braziers%20Park%20%289.8.14%29.mp3,974,010. 1 x shoebox of cassettes 1 x plastic box of junk. live performance at Supernormal Festival. Braziers Park (9.8.14)
https://archive.org/details/TFR1082-GreaterGods-GodsGermsAndSteel,Greater Gods,music\low_stream\Greater Gods - 03-HumiliationInCaptivity.mp3,http://creativecommons.org/licenses/by-nc-nd/4.0/,https://archive.org/download/TFR1082-GreaterGods-GodsGermsAndSteel/03-HumiliationInCaptivity.mp3,904,03-HumiliationInCaptivity
https://archive.org/details/tube128,Dan Schreck,music\low_stream\Dan Schreck - tube128-04-dan_schreck_-_economic_geology.mp3,,https://archive.org/download/tube128/tube128-04-dan_schreck_-_economic_geology.mp3,886,tube128-04-dan_schreck_-_economic_geology
